time,station,land,year,month
1893.38,-0.49,-0.33,1893,5
1893.46,-0.5,-0.25,1893,6
1893.54,0.03,-0.14,1893,7
1893.63,-0.22,-0.26,1893,8
1893.71,-0.22,-0.23,1893,9
1893.79,-0.1,-0.19,1893,10
1893.88,-0.13,-0.19,1893,11
1893.96,-0.46,-0.35,1893,12
1894.04,-0.68,-0.54,1894,1
1894.13,-0.46,-0.31,1894,2
1894.21,-0.37,-0.24,1894,3
1894.29,-0.65,-0.46,1894,4
1894.38,-0.66,-0.33,1894,5
1894.46,-0.54,-0.42,1894,6
1894.54,-0.39,-0.25,1894,7
1894.63,-0.4,-0.26,1894,8
1894.71,-0.5,-0.29,1894,9
1894.79,-0.27,-0.24,1894,10
1894.88,-0.32,-0.27,1894,11
1894.96,-0.26,-0.23,1894,12
1895.04,-0.68,-0.43,1895,1
1895.13,-0.78,-0.43,1895,2
1895.21,-0.6,-0.34,1895,3
1895.29,-0.47,-0.23,1895,4
1895.38,-0.43,-0.29,1895,5
1895.46,-0.18,-0.22,1895,6
1895.54,-0.52,-0.19,1895,7
1895.63,-0.24,-0.19,1895,8
1895.71,-0.21,-0.13,1895,9
1895.79,-0.17,-0.11,1895,10
1895.88,-0.21,-0.17,1895,11
1895.96,-0.09,-0.14,1895,12
1896.04,-0.2,-0.22,1896,1
1896.13,-0.23,-0.12,1896,2
1896.21,-0.62,-0.26,1896,3
1896.29,-0.46,-0.3,1896,4
1896.38,-0.37,-0.16,1896,5
1896.46,-0.39,-0.11,1896,6
1896.54,-0.18,-0.02,1896,7
1896.63,-0.33,-0.05,1896,8
1896.71,-0.18,-0.07,1896,9
1896.79,-0.15,0.06,1896,10
1896.88,-0.34,-0.04,1896,11
1896.96,-0.21,-0.05,1896,12
1897.04,-0.21,-0.15,1897,1
1897.13,-0.41,-0.16,1897,2
1897.21,-0.26,-0.13,1897,3
1897.29,-0.09,-0.02,1897,4
1897.38,-0.14,-0.01,1897,5
1897.46,-0.01,-0.11,1897,6
1897.54,0.03,-0.02,1897,7
1897.63,-0.24,-0.09,1897,8
1897.71,-0.1,-0.08,1897,9
1897.79,-0.2,-0.13,1897,10
1897.88,0.06,-0.18,1897,11
1897.96,-0.23,-0.21,1897,12
1898.04,-0.07,-0.02,1898,1
1898.13,-0.49,-0.3,1898,2
1898.21,-0.76,-0.51,1898,3
1898.29,-0.51,-0.31,1898,4
1898.38,-0.65,-0.31,1898,5
1898.46,-0.27,-0.19,1898,6
1898.54,-0.28,-0.23,1898,7
1898.63,-0.24,-0.27,1898,8
1898.71,0.02,-0.21,1898,9
1898.79,-0.42,-0.34,1898,10
1898.88,-0.4,-0.39,1898,11
1898.96,-0.15,-0.23,1898,12
1899.04,-0.29,-0.17,1899,1
1899.13,-0.58,-0.39,1899,2
1899.21,-0.38,-0.36,1899,3
1899.29,-0.19,-0.21,1899,4
1899.38,-0.36,-0.24,1899,5
1899.46,-0.48,-0.32,1899,6
1899.54,-0.25,-0.17,1899,7
1899.63,-0.3,-0.09,1899,8
1899.71,-0.04,-0.05,1899,9
1899.79,-0.18,-0.04,1899,10
1899.88,0.0,0.12,1899,11
1899.96,-0.17,-0.26,1899,12
1900.04,-0.44,-0.36,1900,1
1900.13,-0.03,-0.06,1900,2
1900.21,-0.13,0.0,1900,3
1900.29,-0.04,-0.09,1900,4
1900.38,-0.13,-0.09,1900,5
1900.46,-0.05,-0.1,1900,6
1900.54,-0.3,-0.13,1900,7
1900.63,-0.03,-0.09,1900,8
1900.71,0.03,-0.05,1900,9
1900.79,0.22,0.09,1900,10
1900.88,-0.01,-0.07,1900,11
1900.96,-0.07,-0.07,1900,12
1901.04,-0.2,-0.22,1901,1
1901.13,-0.26,-0.11,1901,2
1901.21,-0.12,0.06,1901,3
1901.29,-0.03,-0.03,1901,4
1901.38,-0.1,-0.15,1901,5
1901.46,0.09,-0.12,1901,6
